IssueID,Repo,Number(sequence No. in the current repo),TDType,QA
245019382,NCI-Agency/anet,80,Architectural TD,Maintainability
138493894,NAVADMC/ADSM,730,Test TD,Maintainability
52305145,NAVADMC/ADSM,369,Architectural TD,Performance efficiency
276348875,muraha/WebSite-Test-2-HW2-,9,Build TD,Reliability
664218267,mtrenker/clean.dev,14,Design TD,Maintainability
252946374,mozilla/testpilot,2819,Infrastructure TD,Maintainability
39000642,mozilla/makedrive,167,Architectural TD,Reliability
10801761,mozilla/blushproof,22,Design TD,Maintainability
376439394,MotusDev/Motus-TO-DO,397,Design TD,Maintainability
543066916,Moody-Tunes/moodytunes,267,Architectural TD,Performance efficiency
142599043,molgenis/molgenis,4701,Defect TD,Reliability
212552242,mitodl/salt-ops,249,Test TD,Maintainability
435202443,mitodl/open-discussions,1958,Infrastructure TD,Compatibility
760495962,mitodl/ocw-data-parser,112,Architectural TD,Maintainability
170730078,mitodl/micromasters,834,Architectural TD,Security
244793405,mitodl/micromasters,3428,Test TD,Maintainability
238554903,mitodl/micromasters,3339,Defect TD,Reliability
359700929,mit-cml/appinventor-sources,1356,Design TD,Maintainability
391117965,mirumee/saleor-storefront,172,Code TD,Maintainability
495042662,mirumee/saleor,4744,Architectural TD,Maintainability
454334824,mirumee/saleor,4248,Design TD,Maintainability 
295091834,mirumee/saleor,1759,Design TD,Maintainability
224156707,microsoft/vscode-eslint,231,Documentation TD,Maintainability
587319868,microsoft/vscode,93332,Architectural TD,Functional suitability
583900374,microsoft/vscode,92949,Design TD,Usability
563133988,microsoft/vscode,90441,Design TD,Maintainability
450634002,microsoft/vscode,74661,Design TD,Performance efficiency
437220103,microsoft/vscode,72866,Design TD,Maintainability
158317997,microsoft/vscode,7176,Architectural TD,Maintainability
420146040,microsoft/vscode,70330,Code TD,Reliability
418730287,microsoft/vscode,70039,Documentation TD,Maintainability
403596922,microsoft/vscode,67191,Code TD,Reliability
153024382,microsoft/vscode,6093,Architectural TD,Maintainability
368868165,microsoft/vscode,60565,Code TD,Reliability
344837318,microsoft/vscode,55150,Requirements TD,Usability
334092251,microsoft/vscode,52484,Design TD,Usability
322382749,microsoft/vscode,49713,Infrastructure TD,Portability
275329551,microsoft/vscode,38776,Architectural TD,Maintainability
249433506,microsoft/vscode,32241,Architectural TD,Maintainability
238549413,microsoft/vscode,29460,Architectural TD,Maintainability
212384004,microsoft/vscode,22138,Architectural TD,Maintainability
207018351,microsoft/vscode,20488,Defect TD,Functional suitability
